StringID   Type       x          y          demand     ReadyTime  DueDate    ServiceTime 
C14        c          22.0       85.0       10.0       263.0      327.0      90.0       36
C15        c          20.0       80.0       40.0       745.0      789.0      90.0       37
C16        c          20.0       85.0       40.0       358.0      416.0      90.0       38
C17        c          18.0       75.0       20.0       633.0      711.0      90.0       39
C18        c          15.0       75.0       20.0       557.0      601.0      90.0       40
C19        c          15.0       80.0       10.0       455.0      513.0      90.0       41
C20        c          30.0       50.0       10.0       10.0       70.0       90.0       42
C21        c          30.0       52.0       20.0       11.0       73.0       90.0       43
C22        c          28.0       52.0       20.0       73.0       131.0      90.0       44
C23        c          28.0       55.0       10.0       13.0       70.0       90.0       45
C24        c          25.0       50.0       10.0       72.0       138.0      90.0       46
C25        c          25.0       52.0       40.0       158.0      232.0      90.0       47
C26        c          25.0       55.0       10.0       672.0      744.0      90.0       48
C27        c          23.0       52.0       10.0       263.0      311.0      90.0       49
C28        c          23.0       55.0       20.0       438.0      510.0      90.0       50
C29        c          20.0       50.0       10.0       174.0      226.0      90.0       51
C30        c          20.0       55.0       10.0       355.0      407.0      90.0       52
C31        c          10.0       35.0       20.0       467.0      517.0      90.0       53
C32        c          10.0       40.0       30.0       271.0      337.0      90.0       54
C33        c          8.0        40.0       40.0       355.0      437.0      90.0       55
C34        c          8.0        45.0       20.0       194.0      244.0      90.0       56
C35        c          5.0        35.0       10.0       655.0      725.0      90.0       57
C36        c          5.0        45.0       10.0       278.0      346.0      90.0       58
C37        c          2.0        40.0       20.0       569.0      619.0      90.0       59
C38        c          0.0        40.0       30.0       472.0      532.0      90.0       60
C39        c          0.0        45.0       20.0       374.0      440.0      90.0       61
C40        c          35.0       30.0       10.0       143.0      199.0      90.0       62
C41        c          35.0       32.0       10.0       49.0       109.0      90.0       63
C42        c          33.0       32.0       20.0       239.0      289.0      90.0       64
C43        c          33.0       35.0       10.0       789.0      849.0      90.0       65
C44        c          32.0       30.0       10.0       325.0      387.0      90.0       66
C45        c          30.0       30.0       10.0       421.0      475.0      90.0       67
C46        c          30.0       32.0       30.0       601.0      665.0      90.0       68
C47        c          30.0       35.0       10.0       698.0      754.0      90.0       69
C48        c          28.0       30.0       10.0       511.0      569.0      90.0       70
C49        c          28.0       35.0       10.0       1011.0     1073.0     90.0       71
C50        c          26.0       32.0       10.0       923.0      975.0      90.0       72
C51        c          25.0       30.0       10.0       823.0      889.0      90.0       73
C52        c          25.0       35.0       10.0       1042.0     1102.0     90.0       74
C53        c          44.0       5.0        20.0       437.0      511.0      90.0       75
C54        c          42.0       10.0       40.0       810.0      868.0      90.0       76
C55        c          42.0       15.0       10.0       905.0      963.0      90.0       77
C56        c          40.0       5.0        30.0       350.0      410.0      90.0       78
C57        c          40.0       15.0       40.0       989.0      1063.0     90.0       79
C58        c          38.0       5.0        30.0       256.0      320.0      90.0       80
C59        c          38.0       15.0       10.0       66.0       124.0      90.0       81
C60        c          35.0       5.0        20.0       167.0      223.0      90.0       82
C61        c          50.0       30.0       10.0       980.0      1064.0     90.0       83
C62        c          50.0       35.0       20.0       169.0      229.0      90.0       84
C63        c          50.0       40.0       50.0       15.0       85.0       90.0       85
C64        c          48.0       30.0       10.0       263.0      325.0      90.0       86
C65        c          48.0       40.0       10.0       67.0       139.0      90.0       87
C66        c          47.0       35.0       10.0       1068.0     1129.0     90.0       88
C67        c          47.0       40.0       10.0       13.0       88.0       90.0       89
C68        c          45.0       30.0       10.0       354.0      420.0      90.0       90
C69        c          45.0       35.0       10.0       448.0      516.0      90.0       91
C70        c          95.0       30.0       30.0       390.0      444.0      90.0       92
C71        c          95.0       35.0       20.0       481.0      543.0      90.0       93
C72        c          53.0       30.0       10.0       904.0      954.0      90.0       94
C73        c          92.0       30.0       10.0       287.0      361.0      90.0       95
C74        c          53.0       35.0       50.0       78.0       142.0      90.0       96
C75        c          45.0       65.0       20.0       16.0       91.0       90.0       97
C76        c          90.0       35.0       10.0       575.0      639.0      90.0       98
C77        c          88.0       30.0       10.0       534.0      600.0      90.0       99
C78        c          88.0       35.0       20.0       667.0      731.0      90.0       100
C79        c          87.0       30.0       10.0       446.0      506.0      90.0       101
C80        c          85.0       25.0       10.0       637.0      689.0      90.0       102
C81        c          85.0       35.0       30.0       761.0      823.0      90.0       103
C82        c          75.0       55.0       20.0       459.0      529.0      90.0       104
C83        c          72.0       55.0       10.0       556.0      618.0      90.0       105
C84        c          70.0       58.0       20.0       650.0      710.0      90.0       106
C85        c          68.0       60.0       30.0       737.0      809.0      90.0       107
C86        c          66.0       55.0       10.0       173.0      241.0      90.0       108
C87        c          65.0       55.0       20.0       87.0       145.0      90.0       109
C88        c          65.0       60.0       30.0       837.0      895.0      90.0       110
C89        c          63.0       58.0       10.0       929.0      989.0      90.0       111
C90        c          60.0       55.0       10.0       21.0       84.0       90.0       112
C91        c          60.0       60.0       10.0       1010.0     1096.0     90.0       113
C92        c          67.0       85.0       20.0       459.0      519.0      90.0       114
C93        c          65.0       85.0       40.0       546.0      616.0      90.0       115
C94        c          65.0       82.0       10.0       367.0      423.0      90.0       116
C95        c          62.0       80.0       30.0       274.0      330.0      90.0       117
C96        c          60.0       80.0       10.0       177.0      243.0      90.0       118
C97        c          60.0       85.0       30.0       645.0      707.0      90.0       119
C98        c          58.0       75.0       20.0       181.0      247.0      90.0       120
C99        c          55.0       80.0       10.0       836.0      896.0      90.0       121
C100       c          55.0       85.0       20.0       744.0      798.0      90.0       122

Q Vehicle fuel tank capacity /79.69/
C Vehicle load capacity /200.0/
r fuel consumption rate /1.0/
g inverse refueling rate /3.39/
v average Velocity /1.0/
m number of vehicles /30/
